Team,W,L,ORtg,DRtg,NRtg,Pace
OKC,51,15,118.54,107.72,10.82,99.1
BOS,43,21,120.52,112.45,8.07,98.6
SAS,47,17,118.34,111.31,7.03,99.8
DET,45,18,116.65,109.76,6.89,99.2
NYK,41,25,119.21,112.97,6.24,99.0
HOU,38,26,118.03,113.11,4.91,99.5
CLE,37,27,118.22,114.09,4.12,99.3
MIA,36,29,115.75,112.33,3.42,103.8
DEN,38,28,121.52,117.89,3.62,100.4
MIN,36,28,117.24,113.33,3.91,100.6
CHA,34,30,118.82,115.23,3.59,100.2
TOR,33,31,114.67,112.85,1.82,99.7
GSW,33,32,115.28,114.12,1.16,99.4
ORL,32,32,114.96,113.63,1.33,99.1
PHX,32,33,114.95,113.87,1.07,99.9
LAC,31,33,116.77,116.27,0.50,100.1
LAL,31,34,117.67,116.92,0.74,100.3
ATL,30,34,114.97,114.52,0.44,102.0
PHI,29,35,115.33,115.69,-0.36,99.6
POR,27,37,113.93,116.43,-2.50,100.9
MEM,27,37,113.98,116.25,-2.27,101.3
CHI,25,39,113.13,117.55,-4.41,101.7
DAL,25,39,110.37,115.08,-4.70,101.5
NOP,24,41,114.32,119.13,-4.81,100.0
MIL,23,41,112.99,117.93,-4.94,99.8
UTA,22,42,114.69,122.02,-7.32,101.5
BKN,20,44,110.33,119.10,-8.77,99.5
IND,20,44,109.85,118.35,-8.50,101.1
SAC,18,46,110.58,121.13,-10.54,100.5
WAS,17,47,110.99,121.89,-10.89,101.2
LEAGUE_AVG,,,115.30,115.30,0.00,99.4